     n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
     0,             0,               0,              2,         0,           0,          1,          0,            0,           0,        0,          0,         7
     1,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          1,        11
     2,             1,               0,              0,         1,           2,          0,          1,            0,           0,        1,          3,      1686
     3,             3,               2,              9,         3,           2,          1,          3,            2,          14,        3,          5,         0
     4,             6,               5,              0,         6,           6,         10,          6,            5,           0,        7,          6,         0
     5,             7,               5,              0,        12,           8,         13,         10,            5,           0,       12,         10,         0
     6,            12,              10,              0,        15,          10,          1,         15,           10,           0,       17,         15,         0
     7,            18,              15,              0,        17,          12,          1,         21,           15,           1,       21,         16,         1
     8,            20,              16,              0,        28,          12,          1,         28,           16,           1,       27,         21,         1
     9,            22,              17,              0,        29,          16,          1,         36,           17,          12,       34,         26,         1
    10,            31,              26,              1,        28,          14,          1,         45,           26,           1,       40,         27,         1
    11,            34,              28,              1,        39,          19,          1,         55,           28,           1,       47,         31,         1
    12,            39,              32,              1,        49,          18,          2,         66,           32,           1,       53,         37,         1
    13,            49,              41,              0,        45,          20,          1,         78,           41,           2,       63,         42,         1
    14,            56,              47,              0,        65,          25,          1,         91,           47,           2,       70,         46,         1
    15,            66,              56,              1,        68,          27,          2,        105,           56,           2,       76,         51,         1
    16,            70,              59,              1,        72,          30,          2,        120,           59,           2,       84,         56,         1
    17,            75,              63,              2,        79,          28,          2,        136,           63,           3,       92,         60,         1
    18,            78,              65,              1,        81,          33,          1,        153,           65,           3,      102,         66,         1
    19,            96,              82,              1,        87,          35,          1,        171,           82,           2,      108,         69,         1
    20,           109,              94,              1,        97,          37,          1,        190,           94,           3,      116,         75,         2
    21,           125,             109,              2,        98,          36,          3,        210,          109,           4,      126,         76,         2
    22,           142,             125,              2,       124,          41,          2,        231,          125,           5,      134,         84,         2
    23,           144,             126,              2,       114,          44,          2,        253,          126,           5,      144,         91,         2
    24,           145,             126,              2,       121,          44,          3,        276,          126,           5,      152,         95,         2
    25,           159,             139,              2,       133,          49,          2,        300,          139,           5,      165,        104,         2
    26,           171,             150,              2,       151,          48,          3,        325,          150,           6,      174,        109,         2
    27,           182,             160,              3,       139,          53,          2,        351,          160,           4,      185,        117,         2
    28,           194,             171,              3,       168,          53,          3,        378,          171,           6,      190,        120,         2
    29,           212,             188,              3,       162,          56,          3,        406,          188,           8,      197,        123,         3
    30,           228,             203,              4,       176,          58,          3,        435,          203,           7,      209,        132,         3
    31,           231,             205,              3,       180,          61,          3,        465,          205,           7,      218,        138,         3
    32,           261,             234,              5,       224,          61,          3,        496,          234,           7,      224,        137,         3
    33,           266,             238,              5,       201,          70,          3,        528,          238,           9,      240,        147,         3
    34,           290,             261,              5,       216,          70,          3,        561,          261,           9,      248,        150,         3
    35,           293,             263,              5,       232,          69,          3,        595,          263,          74,      259,        156,         3
    36,           305,             274,              5,       218,          73,          3,        630,          274,          10,      267,        159,         3
    37,           334,             302,              6,       218,          73,          4,        666,          302,          12,      266,        161,         3
    38,           349,             316,              6,       260,          78,          4,        703,          316,          12,      278,        167,         3
    39,           358,             324,              6,       288,          79,          3,        741,          324,          12,      287,        173,         3
    40,           389,             354,             25,       239,          79,          4,        780,          354,          13,      294,        181,         4
    41,           420,             384,              7,       322,          81,          4,        820,          384,          14,      311,        187,         4
    42,           429,             392,              7,       311,          86,          4,        861,          392,          12,      319,        191,         4
    43,           455,             417,             14,       300,          91,          4,        903,          417,           9,      333,        204,         3
    44,           464,             425,              8,       280,          88,          4,        946,          425,          14,      343,        208,         4
    45,           508,             469,              9,       321,          87,          5,        990,          469,          80,      358,        216,         4
    46,           542,             502,              9,       308,          93,          5,       1035,          502,           5,      368,        215,         4
    47,           562,             521,             10,       310,          95,          5,       1081,          521,           5,      383,        226,         4
    48,           580,             538,              9,       337,         100,          4,       1128,          538,           5,      398,        237,         4
    49,           625,             582,             10,       336,         101,          4,       1176,          582,           5,      411,        239,         4
    50,           642,             598,             10,       388,         101,          5,       1225,          598,           5,      420,        249,         4
    51,           677,             632,             11,       382,          99,          4,       1275,          632,           5,      436,        257,         4
    52,           719,             673,             13,       385,         103,          5,       1326,          673,           5,      443,        258,         3
    53,           727,             680,             13,       403,         104,          5,       1378,          680,           6,      453,        263,         4
    54,           768,             720,             12,       389,         109,          5,       1431,          720,           6,      463,        271,         5
    55,           806,             757,             14,       448,         112,          4,       1485,          757,           6,      483,        284,         5
    56,           861,             812,             12,       424,         113,          5,       1540,          812,           5,      493,        285,         4
    57,           867,             817,              8,       411,         118,          4,       1596,          817,           5,      507,        294,         4
    58,           910,             859,             11,       433,         121,          5,       1653,          859,           5,      517,        300,         4
    59,           920,             868,              8,       455,         125,          4,       1711,          868,           5,      522,        305,         3
    60,           942,             889,              8,       424,         132,          4,       1770,          889,           5,      536,        312,         3
    61,           948,             894,              9,       438,         128,          4,       1830,          894,           5,      547,        319,         4
    62,           960,             905,             16,       457,         139,          5,       1891,          905,           6,      560,        326,         4
    63,           962,             906,             13,       472,         134,          6,       1953,          906,           6,      574,        333,         5
    64,           967,             910,              8,       524,         130,          4,       2016,          910,           7,      587,        341,         5
    65,           971,             913,             19,       522,         141,          6,       2080,          913,           8,      599,        348,         6
    66,          1032,             973,             14,       528,         141,          6,       2145,          973,           6,      606,        350,         4
    67,          1058,             998,             14,       517,         139,          5,       2211,          998,           7,      614,        357,         5
    68,          1111,            1050,             16,       516,         140,          6,       2278,         1050,           7,      629,        363,         5
    69,          1130,            1068,             14,       532,         147,          6,       2346,         1068,           8,      638,        371,         5
    70,          1148,            1085,             29,       614,         149,          5,       2415,         1085,           6,      651,        378,         4
    71,          1169,            1105,             10,       584,         146,          5,       2485,         1105,           6,      657,        378,         4
    72,          1214,            1149,             12,       641,         154,          5,       2556,         1149,           6,      668,        380,         4
    73,          1269,            1203,             11,       611,         152,          5,       2628,         1203,           6,      690,        398,         4
    74,          1319,            1252,             11,       577,         162,          6,       2701,         1252,           9,      701,        399,         6
    75,          1325,            1257,             22,       584,         168,          7,       2775,         1257,           8,      714,        408,         7
    76,          1337,            1268,             22,       570,         170,          7,       2850,         1268,          11,      726,        415,         7
    77,          1356,            1286,             23,       716,         166,          7,       2926,         1286,          11,      735,        423,         6
    78,          1418,            1347,             27,       645,         172,          8,       3003,         1347,          11,      743,        426,         6
    79,          1423,            1351,             21,       742,         163,          7,       3081,         1351,          12,      760,        436,         7
    80,          1438,            1365,             24,       632,         176,          7,       3160,         1365,          11,      774,        444,         7
    81,          1512,            1438,             24,       681,         178,          7,       3240,         1438,          11,      787,        453,         7
    82,          1573,            1498,             26,       662,         178,          8,       3321,         1498,          12,      805,        459,         7
    83,          1648,            1572,             25,       654,         189,          8,       3403,         1572,          13,      820,        473,         8
    84,          1653,            1576,             33,       679,         185,          7,       3486,         1576,          13,      827,        477,         8
    85,          1677,            1599,             24,       658,         189,          7,       3570,         1599,          14,      844,        488,         8
    86,          1732,            1653,             30,       736,         191,          8,       3655,         1653,          12,      848,        482,         7
    87,          1746,            1666,             29,       700,         195,          8,       3741,         1666,          12,      856,        493,         7
    88,          1821,            1740,             33,       774,         191,          7,       3828,         1740,          12,      870,        505,         7
    89,          1877,            1795,             32,       732,         206,          8,       3916,         1795,          13,      879,        500,         7
    90,          1888,            1805,             32,       729,         203,          8,       4005,         1805,          13,      884,        506,         7
    91,          1970,            1886,             33,       735,         207,          8,       4095,         1886,          13,      909,        525,         7
    92,          2019,            1934,             34,       794,         217,          8,       4186,         1934,          13,      924,        531,         8
    93,          2021,            1935,             36,       795,         207,          8,       4278,         1935,          13,      943,        538,         7
    94,          2038,            1951,             34,       797,         217,          8,       4371,         1951,          14,      949,        540,         7
    95,          2110,            2022,             35,       805,         217,          8,       4465,         2022,          14,      960,        549,         7
    96,          2117,            2028,             36,       793,         215,          9,       4560,         2028,          15,      974,        559,         8
    97,          2200,            2110,             40,       792,         214,          8,       4656,         2110,          15,      990,        563,         9
    98,          2273,            2182,             39,       852,         218,          8,       4753,         2182,          16,     1008,        583,         8
    99,          2338,            2246,             41,       892,         224,          8,       4851,         2246,          16,     1024,        585,         8
   100,          2424,            2331,             44,       884,         223,          9,       4950,         2331,          16,     1039,        590,         9
   101,          2518,            2424,             44,       912,         220,          9,       5050,         2424,          14,     1056,        595,         7
   102,          2544,            2449,             32,       837,         233,         10,       5151,         2449,          17,     1063,        608,         8
   103,          2549,            2453,             36,       961,         232,         10,       5253,         2453,          16,     1091,        624,         8
   104,          2592,            2495,             43,       892,         234,          9,       5356,         2495,          18,     1101,        630,        10
   105,          2696,            2599,             53,       927,         235,         10,       5460,         2599,          19,     1113,        630,        10
   106,          2719,            2621,             45,       889,         251,         10,       5565,         2621,          20,     1121,        644,        10
   107,          2737,            2638,             46,      1072,         240,         10,       5671,         2638,          20,     1138,        645,        10
