    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              1,         0,           0,          0,          0,            0,           0,        0,          0,         0
    1,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          1,         1
    2,             1,               0,              1,         1,           2,          2,          1,            0,           0,        1,          3,         2
    3,             2,               0,              0,         3,           2,          1,          3,            0,           0,        3,          5,         1
    4,             5,               3,              8,         6,           4,         13,          6,            3,           8,        6,          6,         1
    5,             7,               4,              1,        10,           6,         12,         10,            4,           0,       10,          9,         1
    6,            12,               9,              0,        14,           9,          1,         15,            9,           0,       16,         14,        16
    7,            18,              15,              0,        19,          10,          1,         21,           15,           1,       21,         16,         2
    8,            25,              21,              0,        25,          13,          2,         28,           21,           1,       25,         18,         2
    9,            28,              23,              1,        32,          13,          1,         36,           23,           1,       31,         22,         2
   10,            35,              29,              0,        33,          15,          1,         45,           29,           1,       39,         28,         2
   11,            36,              29,              0,        45,          16,          1,         55,           29,           1,       47,         34,         2
   12,            46,              38,              1,        46,          16,          2,         66,           38,           1,       53,         35,         2
   13,            50,              41,              1,        52,          24,          2,         78,           41,           2,       59,         40,         2
   14,            56,              46,              1,        59,          25,          1,         91,           46,           1,       63,         43,         2
   15,            60,              49,              1,        66,          25,          2,        105,           49,           2,       68,         46,         3
   16,            69,              57,              1,        65,          29,          2,        120,           57,           2,       80,         54,         3
   17,            72,              59,              1,        83,          31,          2,        136,           59,           2,       90,         60,         3
   18,            87,              73,              1,        88,          32,          2,        153,           73,           3,       97,         64,         3
   19,            97,              82,              2,        92,          32,          2,        171,           82,           3,      103,         67,         3
   20,           101,              85,              2,       100,          38,          2,        190,           85,           3,      111,         74,         3
   21,           112,              95,              2,       127,          36,          2,        210,           95,           4,      119,         76,         6
   22,           113,              95,              2,       112,          42,          2,        231,           95,           4,      129,         86,         3
   23,           116,              97,              2,       116,          40,          2,        253,           97,           5,      139,         88,         3
   24,           126,             106,              2,       126,          45,          3,        276,          106,           5,      148,         95,         3
   25,           147,             126,              2,       133,          45,          2,        300,          126,           5,      157,        101,         4
   26,           159,             137,              3,       139,          49,          2,        325,          137,           6,      168,        106,         4
   27,           176,             153,              3,       167,          55,          3,        351,          153,           7,      176,        112,         3
   28,           182,             158,              3,       170,          54,          3,        378,          158,           6,      185,        119,         4
   29,           189,             164,              3,       192,          54,          3,        406,          164,           6,      191,        121,         4
   30,           211,             185,              3,       179,          57,          2,        435,          185,           7,      198,        126,         4
   31,           241,             215,              4,       196,          60,          3,        465,          215,           8,      207,        130,         4
   32,           268,             241,              5,       183,          60,          3,        496,          241,           8,      218,        136,         4
   33,           294,             266,              4,       198,          66,          3,        528,          266,           9,      229,        135,         4
   34,           318,             289,              5,       211,          68,          3,        561,          289,          10,      243,        148,         5
   35,           346,             316,              5,       211,          64,          3,        595,          316,          71,      253,        151,         5
   36,           381,             350,              7,       223,          72,          3,        630,          350,          10,      258,        157,         5
   37,           397,             365,              7,       254,          70,          3,        666,          365,          12,      272,        166,         5
   38,           431,             398,              7,       252,          81,          4,        703,          398,          13,      282,        169,         5
   39,           469,             436,              8,       246,          78,          4,        741,          436,          14,      291,        175,         5
   40,           497,             463,              9,       268,          84,          4,        780,          463,          15,      302,        178,         5
   41,           512,             477,              8,       277,          86,          4,        820,          477,          13,      314,        184,         5
   42,           514,             478,              8,       289,          90,          4,        861,          478,          14,      320,        189,         8
   43,           519,             482,             10,       307,          90,          4,        903,          482,          14,      334,        195,         5
   44,           531,             493,              8,       304,          92,          4,        946,          493,          16,      348,        202,         6
   45,           575,             537,              9,       302,          90,          4,        990,          537,           4,      360,        208,         6
   46,           618,             579,             10,       340,          97,          3,       1035,          579,           5,      372,        214,         5
   47,           633,             593,              6,       340,         105,          4,       1081,          593,           5,      379,        218,         5
   48,           652,             611,             11,       317,         100,          4,       1128,          611,           5,      386,        224,         7
   49,           696,             654,             12,       345,         103,          4,       1176,          654,           5,      397,        227,         6
   50,           723,             680,             11,       462,         102,          5,       1225,          680,           6,      410,        233,         6
   51,           753,             709,             11,       356,         108,         14,       1275,          709,           5,      418,        236,         6
   52,           804,             759,             11,       382,         109,          4,       1326,          759,           5,      431,        244,         6
   53,           855,             809,             14,       413,         108,          5,       1378,          809,           6,      440,        248,         6
   54,           905,             858,             14,       411,         115,          5,       1431,          858,           6,      450,        259,         6
   55,           927,             879,             15,       391,         122,          5,       1485,          879,           6,      460,        266,         7
   56,           973,             924,             17,       410,         119,          5,       1540,          924,           6,      473,        265,        10
   57,          1026,             976,             15,       427,         121,          5,       1596,          976,           7,      484,        275,         8
   58,          1036,             985,             18,       437,         134,          6,       1653,          985,           8,      494,        280,        24
   59,          1091,            1039,             20,       508,         134,          6,       1711,         1039,           8,      509,        290,        11
   60,          1134,            1081,             19,       456,         134,          6,       1770,         1081,           8,      525,        296,         7
   61,          1162,            1108,             20,       438,         136,          5,       1830,         1108,          20,      535,        297,         8
   62,          1198,            1143,             21,       458,         147,          6,       1891,         1143,           8,      544,        308,         8
   63,          1216,            1160,             19,       476,         139,          6,       1953,         1160,           9,      558,        313,         8
   64,          1235,            1178,             21,       560,         138,          6,       2016,         1178,           9,      574,        327,         8
   65,          1293,            1235,             21,       490,         146,          6,       2080,         1235,           8,      578,        328,         7
   66,          1350,            1291,             22,       529,         149,          6,       2145,         1291,           8,      591,        334,        22
   67,          1363,            1303,             21,       501,         148,         48,       2211,         1303,          10,      602,        342,        11
   68,          1408,            1347,             26,       503,         153,          6,       2278,         1347,           8,      616,        342,        10
   69,          1430,            1368,             29,       580,         160,          7,       2346,         1368,           9,      628,        353,         8
   70,          1499,            1436,             22,       570,         160,          7,       2415,         1436,           9,      646,        369,         9
   71,          1529,            1465,             25,       541,         162,          6,       2485,         1465,          10,      651,        368,         8
   72,          1540,            1475,             24,       599,         159,          6,       2556,         1475,           9,      666,        372,         8
   73,          1587,            1521,             21,       574,         168,          6,       2628,         1521,          10,      682,        388,         8
   74,          1630,            1563,             25,       585,         162,          6,       2701,         1563,          10,      692,        392,         9
   75,          1699,            1631,             36,       597,         174,          7,       2775,         1631,          11,      696,        394,        10
   76,          1760,            1691,             25,       633,         176,          6,       2850,         1691,          11,      709,        398,         9
   77,          1806,            1736,             28,       624,         170,          7,       2926,         1736,          11,      718,        401,        12
   78,          1810,            1739,             34,       659,         178,          7,       3003,         1739,          11,      735,        412,        11
   79,          1837,            1765,             30,       669,         184,          8,       3081,         1765,         513,      750,        430,        10
   80,          1879,            1806,             28,       644,         181,          8,       3160,         1806,          12,      761,        429,         9
   81,          1907,            1833,             28,       664,         191,          7,       3240,         1833,          12,      773,        434,         9
   82,          1933,            1858,             28,       622,         184,          6,       3321,         1858,          12,      783,        443,         9
   83,          1936,            1860,             30,       652,         187,          7,       3403,         1860,          11,      796,        453,         8
   84,          1980,            1903,             29,       692,         193,          7,       3486,         1903,          12,      808,        458,        10
   85,          2050,            1972,             32,       768,         192,          7,       3570,         1972,          12,      823,        465,        12
   86,          2053,            1974,             34,       798,         195,          7,       3655,         1974,          12,      832,        473,         9
   87,          2089,            2009,             33,       704,         193,          7,       3741,         2009,          15,      852,        474,        12
   88,          2129,            2048,             37,       707,         207,          9,       3828,         2048,          14,      869,        487,        12
   89,          2191,            2109,             38,       738,         196,          8,       3916,         2109,          15,      879,        492,        12
   90,          2270,            2187,             39,       804,         210,          9,       4005,         2187,          15,      890,        502,        12
   91,          2323,            2239,             42,       856,         205,          9,       4095,         2239,          16,      901,        504,        11
   92,          2333,            2248,             39,       775,         211,          8,       4186,         2248,          16,      919,        523,        17
   93,          2400,            2314,             36,       832,         212,          8,       4278,         2314,          13,      922,        519,        13
   94,          2425,            2338,             37,       809,         218,          8,       4371,         2338,          14,      933,        521,        11
   95,          2454,            2366,             37,       824,         228,          9,       4465,         2366,          15,      945,        529,        11
   96,          2542,            2453,             35,       785,         226,          8,       4560,         2453,          15,      971,        548,        11
   97,          2630,            2540,             41,       856,         223,         23,       4656,         2540,          13,      985,        553,        10
   98,          2695,            2604,             44,       828,         229,          9,       4753,         2604,          17,      990,        555,        13
   99,          2710,            2618,             39,       845,         233,          9,       4851,         2618,          16,      999,        557,        12
  100,          2797,            2704,             49,       924,         236,          8,       4950,         2704,          17,     1017,        573,        15
  101,          2811,            2717,             49,       894,         236,         10,       5050,         2717,          20,     1032,        578,        14
  102,          2870,            2775,             42,       969,         234,         10,       5151,         2775,          18,     1053,        594,        12
  103,          2904,            2808,             66,       926,         240,         11,       5253,         2808,          19,     1059,        597,        13
  104,          2979,            2882,             49,       873,         249,          9,       5356,         2882,          20,     1071,        603,        14
  105,          3083,            2985,             50,       968,         241,         10,       5460,         2985,          19,     1086,        612,        13
  106,          3110,            3011,             69,      1056,         247,          9,       5565,         3011,          17,     1097,        624,        15
  107,          3199,            3099,             46,       983,         252,         10,       5671,         3099,          18,     1101,        618,        12
