   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              2,         0,           0,          1,          0,            0,           0,        0,          0,         0
   1,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          1,         1
   2,             1,               0,              0,         1,           2,         11,          1,            0,           0,        1,          3,         1
   3,             3,               1,              7,         3,           2,          1,          3,            1,           7,        3,          4,         1
   4,             4,               1,              0,         8,           6,          8,          6,            1,           0,        7,          8,        19
   5,             8,               4,             10,        10,           6,          1,         10,            4,           0,       12,         11,         1
   6,            11,               6,              0,        14,           7,          1,         15,            6,           0,       16,         13,         1
   7,            16,              10,              0,        21,           9,         15,         21,           10,           0,       19,         15,         1
   8,            20,              13,              0,        21,          10,          1,         28,           13,           0,       27,         20,         1
   9,            26,              18,              0,        29,          13,          1,         36,           18,           1,       35,         25,         1
  10,            28,              19,              1,        30,          14,          2,         45,           19,           1,       41,         30,         2
  11,            30,              20,              1,        39,          15,          2,         55,           20,           1,       48,         33,         1
  12,            33,              22,              0,        49,          18,          2,         66,           22,           1,       57,         39,         1
  13,            34,              22,              0,        48,          18,          1,         78,           22,           1,       65,         43,         1
  14,            42,              29,              0,        56,          22,          1,         91,           29,           1,       69,         46,         1
  15,            51,              37,              1,        54,          22,          2,        105,           37,           2,       73,         50,         2
  16,            62,              47,              1,        67,          27,          3,        120,           47,           2,       82,         54,         2
  17,            78,              62,              1,        72,          29,          2,        136,           62,           1,       87,         57,         2
  18,            91,              74,              1,        80,          32,          2,        153,           74,           1,       97,         63,         1
  19,            96,              78,              1,        86,          37,          3,        171,           78,           2,      105,         67,         3
  20,           110,              91,              1,       113,          37,          4,        190,           91,           2,      109,         70,         2
  21,           128,             108,              1,       102,          40,          4,        210,          108,           2,      119,         79,         2
  22,           131,             110,              1,       113,          44,          2,        231,          110,           2,      127,         85,         2
  23,           132,             110,              1,       125,          41,          2,        253,          110,           4,      137,         87,         3
  24,           154,             131,              3,       116,          43,          4,        276,          131,           5,      151,         96,         4
  25,           176,             152,              3,       131,          40,          4,        300,          152,           4,      162,        101,         3
  26,           189,             164,              3,       138,          47,          5,        325,          164,           5,      170,        103,         6
