  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              1,         0,           0,          0,          0,            0,           0,        0,          0,         1
  1,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          1,         1
  2,             1,               1,              1,         2,           2,          9,          1,            1,           1,        1,          2,         2
  3,             2,               1,              1,         5,           4,          7,          3,            1,           1,        3,          4,        14
  4,             4,               2,              1,         7,           6,          7,          6,            2,           1,        6,          7,         1
  5,             5,               2,              1,         8,           6,          8,         10,            2,           1,       11,         11,         1
  6,            10,               6,              1,        17,          10,         10,         15,            6,           2,       15,         13,         2
  7,            13,               8,              1,        23,          10,         29,         21,            8,           5,       19,         15,        20
  8,            20,              15,              1,        21,          12,         11,         28,           15,           3,       27,         20,         2
  9,            26,              20,              1,        28,          13,         11,         36,           20,           3,       33,         21,         2
 10,            34,              27,              2,        37,          15,         17,         45,           27,           4,       37,         24,         2
 11,            40,              32,              2,        41,          19,         55,         55,           32,           3,       46,         29,         1
 12,            44,              35,              2,        52,          20,         10,         66,           35,           3,       51,         34,         3
 13,            55,              45,              4,        50,          24,         22,         78,           45,           5,       56,         36,         3
 14,            59,              48,              4,        58,          26,         22,         91,           48,           6,       61,         39,         3
 15,            67,              55,              5,        62,          26,         19,        105,           55,           7,       68,         44,         3
 16,            70,              57,              6,        73,          31,         16,        120,           57,           5,       80,         54,         3
 17,            83,              69,              5,        83,          29,        126,        136,           69,           9,       90,         56,         4
 18,            92,              77,              6,        79,          30,         21,        153,           77,          12,       99,         62,         5
 19,            95,              79,              6,        94,          35,         27,        171,           79,          11,      106,         66,         5
 20,           114,              98,              4,        87,          33,         19,        190,           98,          12,      116,         73,         5
 21,           133,             116,              7,       116,          36,         26,        210,          116,          13,      124,         75,         5
 22,           154,             136,              9,       105,          39,         26,        231,          136,          16,      127,         77,         7
 23,           168,             149,             10,       113,          43,         34,        253,          149,          13,      137,         82,         3
 24,           182,             162,              8,       118,          46,         32,        276,          162,          23,      145,         89,         5
 25,           198,             177,              9,       128,          48,         61,        300,          177,          49,      154,         94,         5
 26,           211,             189,              8,       135,          45,         35,        325,          189,          24,      164,        102,         5
 27,           235,             212,             13,       160,          50,         40,        351,          212,          21,      170,        103,         6
 28,           241,             217,              9,       154,          54,         46,        378,          217,          24,      179,        108,         6
 29,           248,             223,             15,       162,          57,         34,        406,          223,          27,      186,        110,         6
 30,           255,             229,             13,       178,          60,         35,        435,          229,          25,      194,        116,         7
 31,           268,             241,             15,       193,          59,         76,        465,          241,          30,      202,        122,         8
 32,           280,             252,             15,       187,          61,         25,        496,          252,          25,      217,        131,         5
 33,           293,             264,             12,       198,          64,         25,        528,          264,          26,      226,        137,         5
 34,           321,             291,             12,       217,          64,         29,        561,          291,          31,      242,        144,        12
 35,           329,             298,             17,       210,          69,         24,        595,          298,          36,      253,        149,         7
 36,           357,             325,             21,       210,          74,         33,        630,          325,          41,      260,        154,         8
 37,           386,             353,             46,       220,          77,        195,        666,          353,          32,      268,        158,         9
 38,           415,             381,             36,       243,          72,        240,        703,          381,          42,      275,        160,        12
 39,           419,             384,             24,       225,          75,         25,        741,          384,          47,      288,        169,         9
 40,           458,             423,             22,       252,          80,         58,        780,          423,          51,      301,        174,         9
 41,           486,             450,             31,       264,          83,         31,        820,          450,          48,      310,        179,         9
 42,           508,             471,             29,       287,          86,         32,        861,          471,          55,      320,        184,        10
 43,           538,             500,             32,       316,          86,         29,        903,          500,          67,      335,        195,        12
 44,           544,             505,             31,       328,          86,         31,        946,          505,          60,      347,        204,        10
 45,           558,             518,             34,       312,          99,         36,        990,          518,          61,      357,        213,        10
 46,           580,             539,             33,       319,          94,         31,       1035,          539,          56,      365,        214,        10
 47,           610,             568,             33,       319,          97,         32,       1081,          568,          67,      375,        219,        24
 48,           635,             592,             29,       325,          98,         27,       1128,          592,          42,      389,        229,         6
 49,           677,             633,             36,       376,          99,         35,       1176,          633,          71,      400,        234,        11
 50,           716,             671,             41,       353,         101,         44,       1225,          671,          75,      409,        242,        13
 51,           726,             680,             42,       345,         109,          9,       1275,          680,          76,      417,        245,        13
 52,           729,             682,             42,       410,         105,         11,       1326,          682,          49,      432,        255,         7
 53,           748,             700,             26,       433,         108,          6,       1378,          700,          50,      443,        265,         7
 54,           800,             751,             29,       385,         120,          5,       1431,          751,          52,      454,        268,        12
 55,           848,             798,             50,       384,         115,         10,       1485,          798,          89,      462,        273,        13
 56,           884,             833,             51,       397,         120,         11,       1540,          833,         111,      472,        278,         5
 57,           908,             856,             33,       446,         119,          6,       1596,          856,          58,      479,        277,         5
 58,           949,             896,             54,       452,         125,         13,       1653,          896,          99,      497,        291,         7
 59,          1007,             953,             55,       477,         127,         10,       1711,          953,         105,      514,        296,        13
 60,          1018,             963,             60,       424,         129,         14,       1770,          963,         106,      521,        306,         8
 61,          1067,            1011,             59,       466,         136,         13,       1830,         1011,          77,      534,        310,         7
 62,          1098,            1041,             64,       442,         121,          9,       1891,         1041,         114,      543,        314,         9
 63,          1105,            1047,             58,       489,         134,         12,       1953,         1047,         109,      553,        320,         7
 64,          1129,            1070,             61,       537,         135,         14,       2016,         1070,         121,      559,        323,         8
 65,          1139,            1079,             62,       481,         150,         13,       2080,         1079,         122,      578,        332,         8
 66,          1190,            1129,             68,       549,         147,         12,       2145,         1129,         125,      588,        336,         6
 67,          1252,            1190,             45,       492,         151,         12,       2211,         1190,         135,      594,        343,         8
 68,          1318,            1255,             76,       550,         153,         13,       2278,         1255,         140,      617,        358,         9
 69,          1382,            1318,             79,       595,         150,         14,       2346,         1318,         131,      628,        361,         9
 70,          1448,            1383,             82,       687,         148,         15,       2415,         1383,         149,      638,        364,         9
 71,          1502,            1436,             86,       536,         163,         13,       2485,         1436,         151,      653,        371,         9
 72,          1503,            1436,             88,       611,         156,         17,       2556,         1436,         162,      669,        379,        12
 73,          1571,            1503,             87,       550,         164,         12,       2628,         1503,         150,      675,        382,         9
 74,          1616,            1547,             91,       579,         165,         21,       2701,         1547,         157,      682,        390,         9
 75,          1682,            1612,             94,       613,         163,         14,       2775,         1612,         166,      702,        403,         9
