 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              3,         0,           0,          1,          0,            0,           0,        0,          0,         1
 1,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          1,         1
 2,             1,               0,              0,         1,           2,          7,          1,            0,           1,        1,          3,         3
 3,             2,               0,              1,         4,           4,          6,          3,            0,           0,        3,          5,         2
 4,             4,               1,              1,         5,           4,          8,          6,            1,           2,        6,          8,         3
 5,             8,               5,              2,        12,           8,          8,         10,            5,           2,       10,         10,         4
 6,            13,               9,              2,        14,           8,          7,         15,            9,           3,       16,         14,         4
 7,            15,              10,              2,        22,          11,          9,         21,           10,           3,       21,         17,         4
 8,            17,              11,              2,        22,          12,         12,         28,           11,           4,       27,         22,         8
 9,            20,              13,              2,        33,          14,         11,         36,           13,          10,       34,         26,         8
10,            21,              13,              3,        32,          13,         12,         45,           13,           5,       40,         30,         8
