   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              2,         0,           0,          1,          0,            0,           0,        0,          0,         1
   1,             0,               0,              0,         0,           0,          1,          0,            0,           0,        0,          1,         1
   2,             1,               0,              1,         2,           2,         25,          1,            0,           0,        1,          3,      2390
   3,             3,               2,              1,         4,           4,         29,          3,            2,          13,        3,          5,         1
   4,             4,               2,              1,         9,           6,         16,          6,            2,           1,        7,          9,         9
   5,             5,               2,              1,        12,           6,         14,         10,            2,           0,       12,         11,         1
   6,             6,               2,              1,        12,           7,          2,         15,            2,           0,       16,         13,         1
   7,             7,               2,              1,        21,          11,          2,         21,            2,           0,       21,         16,         1
   8,             8,               2,              1,        22,           9,          2,         28,            2,           0,       27,         22,         1
   9,             9,               2,              1,        34,          13,          2,         36,            2,           1,       35,         26,         2
  10,            10,               2,              1,        33,          14,          2,         45,            2,           1,       41,         30,         2
  11,            11,               2,              1,        38,          15,          2,         55,            2,           1,       49,         34,         2
  12,            13,               3,              1,        35,          16,          4,         66,            3,           1,       55,         39,         2
  13,            14,               3,              1,        51,          18,          2,         78,            3,           1,       63,         43,         2
  14,            15,               3,              2,        57,          22,          3,         91,            3,           1,       69,         48,         2
  15,            16,               3,              1,        51,          20,          3,        105,            3,           1,       76,         52,         2
  16,            17,               3,              1,        59,          21,          2,        120,            3,           1,       83,         58,         2
  17,            19,               4,              2,        63,          25,          4,        136,            4,           2,       94,         63,         2
  18,            20,               4,              2,        79,          25,          3,        153,            4,           2,      102,         69,         2
  19,            21,               4,              1,        90,          27,          4,        171,            4,           3,      112,         75,         3
  20,            23,               5,              2,        91,          29,          4,        190,            5,           3,      120,         82,         3
  21,            25,               6,              2,        86,          30,          4,        210,            6,           3,      130,         87,         3
  22,            26,               6,              2,        96,          29,          4,        231,            6,           3,      138,         91,         3
  23,            27,               6,              2,        93,          34,          5,        253,            6,           3,      148,         97,         4
  24,            28,               6,              2,       124,          36,          5,        276,            6,           3,      156,        102,         7
  25,            29,               6,              2,       108,          37,          5,        300,            6,           4,      166,        108,         5
  26,            31,               7,              3,       119,          35,          7,        325,            7,           5,      174,        113,        14
  27,            33,               8,              2,       144,          39,          7,        351,            8,           4,      184,        118,         3
  28,            36,              10,              2,       142,          41,          4,        378,           10,           5,      192,        124,         4
  29,            37,              10,              3,       125,          39,          5,        406,           10,           5,      202,        130,         4
  30,            38,              10,              2,       141,          43,          5,        435,           10,           6,      210,        137,         4
  31,            40,              11,              5,       138,          46,          5,        465,           11,          72,      220,        142,         4
  32,            41,              11,              3,       178,          45,          6,        496,           11,           7,      230,        148,         4
  33,            42,              11,              3,       177,          50,          6,        528,           11,           7,      243,        154,         4
  34,            43,              11,              3,       163,          53,          6,        561,           11,           7,      254,        164,         4
  35,            45,              12,              3,       237,          55,          7,        595,           12,           8,      266,        167,         5
  36,            46,              12,              3,       217,          49,          6,        630,           12,           7,      278,        177,         5
  37,            47,              12,              3,       172,          54,          6,        666,           12,           9,      290,        181,         5
  38,            48,              12,              3,       208,          54,          7,        703,           12,           9,      298,        187,         5
  39,            49,              12,              3,       207,          57,          6,        741,           12,           9,      311,        195,         4
  40,            51,              13,              3,       234,          59,          9,        780,           13,           2,      321,        198,         5
  41,            52,              13,              3,       266,          60,          8,        820,           13,           1,      333,        206,         5
  42,            53,              13,              3,       217,          62,          8,        861,           13,           2,      342,        214,         5
  43,            54,              13,              3,       253,          65,          7,        903,           13,           2,      354,        222,         6
  44,            55,              13,              3,       243,          60,          6,        946,           13,           2,      364,        228,         5
  45,            56,              13,              3,       255,          67,          7,        990,           13,           2,      376,        234,         8
  46,            57,              13,              3,       286,          65,          7,       1035,           13,           2,      389,        242,         6
  47,            59,              14,              4,       240,          70,          7,       1081,           14,           2,      399,        247,         6
  48,            61,              15,              4,       288,          70,         60,       1128,           15,           1,      410,        255,         4
  49,            62,              15,              3,       305,          75,          7,       1176,           15,           2,      424,        260,         7
  50,            63,              15,              4,       316,          80,          9,       1225,           15,           2,      434,        270,         6
  51,            65,              16,              6,       312,          75,          8,       1275,           16,           2,      446,        273,         6
  52,            67,              17,              4,       268,          74,          7,       1326,           17,           3,      459,        280,         7
  53,            70,              19,              4,       322,          73,          9,       1378,           19,           3,      470,        287,         7
  54,            73,              21,              4,       341,          80,          9,       1431,           21,           2,      480,        293,         7
  55,            74,              21,              4,       337,          77,          9,       1485,           21,           3,      490,        300,         7
  56,            75,              21,              4,       452,          82,         11,       1540,           21,           3,      503,        308,         7
  57,            76,              21,              4,       346,          85,         11,       1596,           21,           3,      517,        312,         7
  58,            77,              21,              4,       358,          87,         10,       1653,           21,           3,      524,        320,        11
  59,            78,              21,              4,       330,          86,         26,       1711,           21,           3,      535,        327,         7
  60,            79,              21,              4,       422,          83,         10,       1770,           21,           3,      547,        334,         7
  61,            80,              21,              4,       352,          84,          9,       1830,           21,           3,      560,        339,         8
  62,            81,              21,              4,       410,          88,         10,       1891,           21,           3,      570,        346,         7
  63,            82,              21,              4,       430,          93,          9,       1953,           21,           3,      582,        352,         9
  64,            84,              22,              7,       374,          89,         11,       2016,           22,           3,      592,        355,         8
