  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              2,         0,           0,          0,          0,            0,           0,        0,          0,         1
  1,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          1,         1
  2,             1,               0,              0,         2,           2,          9,          1,            0,           1,        1,          3,        17
  3,             2,               0,              1,         3,           2,          6,          3,            0,           1,        3,          5,         1
  4,             4,               1,              1,         6,           4,         10,          6,            1,           2,        6,          8,         1
  5,             5,               1,              1,        10,           6,          8,         10,            1,           1,       11,         10,         1
  6,             9,               4,              1,        12,           8,          8,         15,            4,           2,       15,         13,         1
  7,            12,               6,              1,        17,           9,          8,         21,            6,           4,       20,         14,         2
  8,            13,               6,              2,        24,          12,         13,         28,            6,           3,       26,         20,         2
  9,            14,               6,              1,        23,          10,         12,         36,            6,           3,       34,         24,         2
 10,            16,               7,              1,        32,          14,         13,         45,            7,           4,       40,         29,         3
 11,            18,               8,              2,        35,          14,         13,         55,            8,           4,       47,         32,         2
 12,            19,               8,              1,        45,          19,         12,         66,            8,           3,       54,         38,         2
 13,            20,               8,              2,        46,          20,         19,         78,            8,           5,       62,         42,         3
 14,            21,               8,              2,        50,          22,         20,         91,            8,          18,       67,         46,         3
 15,            22,               8,              2,        55,          22,         21,        105,            8,           6,       75,         51,         4
 16,            23,               8,              2,        69,          24,         27,        120,            8,           7,       84,         57,         4
 17,            24,               8,              2,        74,          22,         18,        136,            8,           7,       94,         63,        14
 18,            25,               8,              2,        93,          27,         22,        153,            8,           7,      102,         69,         2
 19,            27,               9,              1,        79,          26,         17,        171,            9,           6,      112,         72,         3
 20,            28,               9,              2,        94,          30,         27,        190,            9,          10,      121,         82,         5
 21,            29,               9,              2,        84,          31,         25,        210,            9,          11,      131,         86,         7
 22,            30,               9,              2,       115,          32,         29,        231,            9,          11,      138,         90,         5
 23,            31,               9,              2,       107,          34,         38,        253,            9,          15,      148,         94,         6
 24,            32,               9,              2,        99,          34,         44,        276,            9,          14,      157,        100,         5
 25,            33,               9,              2,       106,          35,         28,        300,            9,          15,      166,        106,         6
 26,            34,               9,              2,       129,          34,         30,        325,            9,          18,      176,        110,         6
 27,            35,               9,              2,       124,          39,         38,        351,            9,          17,      184,        116,         6
 28,            37,              10,              1,       138,          40,         34,        378,           10,          14,      193,        123,         3
 29,            39,              11,              1,       135,          38,         22,        406,           11,          14,      203,        128,         7
 30,            40,              11,              2,       139,          44,         24,        435,           11,          13,      211,        134,         7
 31,            41,              11,              3,       144,          41,         34,        465,           11,          24,      221,        138,         7
 32,            42,              11,              2,       140,          46,         61,        496,           11,          24,      229,        145,         7
 33,            43,              11,              2,       167,          51,         22,        528,           11,          28,      241,        153,         7
 34,            44,              11,              3,       169,          52,         20,        561,           11,          26,      254,        160,        11
 35,            46,              12,              3,       198,          51,         22,        595,           12,          30,      266,        165,         8
 36,            48,              13,              6,       187,          55,         25,        630,           13,          31,      277,        173,         9
 37,            50,              14,              3,       176,          47,         34,        666,           14,          33,      289,        178,         7
 38,            55,              18,              3,       186,          54,         21,        703,           18,          35,      298,        184,         8
 39,            56,              18,              4,       255,          50,         24,        741,           18,          36,      310,        192,         9
 40,            57,              18,              4,       300,          62,         30,        780,           18,          39,      319,        198,         8
 41,            58,              18,              3,       211,          56,         62,        820,           18,          37,      331,        202,        10
 42,            59,              18,              4,       199,          62,         25,        861,           18,          42,      344,        214,         9
 43,            61,              19,              3,       268,          63,         26,        903,           19,          44,      355,        219,         9
 44,            63,              20,              3,       258,          62,         28,        946,           20,          46,      365,        222,         9
 45,            65,              21,              4,       239,          68,         33,        990,           21,          47,      377,        229,        10
 46,            66,              21,              4,       239,          69,         32,       1035,           21,          48,      388,        237,        10
 47,            67,              21,              4,       301,          74,         30,       1081,           21,          51,      400,        245,        10
 48,            68,              21,              4,       245,          69,         41,       1128,           21,          70,      411,        251,        10
 49,            69,              21,              3,       272,          69,          7,       1176,           21,          48,      423,        256,        25
 50,            71,              22,              4,       306,          75,          8,       1225,           22,          58,      434,        263,        12
 51,            72,              22,              4,       287,          75,          6,       1275,           22,          47,      446,        272,         8
 52,            73,              22,              4,       299,          78,          9,       1326,           22,          65,      456,        278,        13
 53,            75,              23,              4,       313,          81,          9,       1378,           23,          65,      470,        285,        13
 54,            77,              24,              4,       397,          78,          9,       1431,           24,          67,      481,        292,        13
 55,            78,              24,              4,       323,          90,          9,       1485,           24,          71,      491,        300,        14
 56,            80,              25,              4,       307,          80,         35,       1540,           25,          70,      502,        302,        13
 57,            81,              25,              4,       356,          82,          9,       1596,           25,          75,      512,        310,        13
 58,            82,              25,              4,       315,          83,          9,       1653,           25,          78,      523,        321,        16
 59,            83,              25,              5,       370,          90,         10,       1711,           25,          82,      535,        326,         9
 60,            85,              26,              4,       317,          84,         10,       1770,           26,          72,      545,        333,         5
 61,            86,              26,              4,       358,          90,         11,       1830,           26,         116,      558,        340,         7
 62,            87,              26,              5,       406,          93,          9,       1891,           26,          89,      567,        347,        10
 63,            88,              26,              5,       390,          91,         26,       1953,           26,          68,      580,        353,         8
 64,            89,              26,              3,       428,          90,          7,       2016,           26,          57,      590,        356,         5
