 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              1,         0,           0,          0,          0,            0,           0,        0,          0,         1
 1,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          1,         1
 2,             1,               0,              0,         1,           2,          5,          1,            0,           1,        1,          3,         2
 3,             2,               0,              0,         4,           4,          6,          3,            0,           1,        3,          5,         2
 4,             3,               0,              0,         5,           4,          5,          6,            0,           1,        7,          9,         3
 5,             4,               0,              0,         9,           6,          6,         10,            0,           1,       12,         11,         3
 6,             6,               1,              1,        13,           8,          8,         15,            1,           2,       16,         13,         4
 7,            10,               4,              1,        15,          10,         12,         21,            4,           4,       20,         16,         5
 8,            11,               4,              1,        25,          10,          9,         28,            4,           3,       26,         22,        10
 9,            12,               4,              1,        24,          13,         10,         36,            4,           3,       34,         26,         8
10,            13,               4,              1,        26,          12,         10,         45,            4,           4,       40,         31,         8
